name,Regression_Owner
cassandra_medusa.config_change_tests.test_remove_node_planned_metadata_disk_replacement_test.TestRemoveNodeMetadataDiskRemovalTest.test_remove_node_metadata_disk_removal_test,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___planned_metadata_disk_replacement_with_replica_ei,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___metadata_disk_removal_abort_test,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___detach_node_planned_metadata_disk_replacement_test,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___all_metadata_disk_serial_replacement,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___all_ssd_serial_removal_test,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___all_ssd_removal_test,Swapnil
cassandra_medusa.error_injection_tests.degraded_node_tests.io_integrity.test_degraded_node_with_io_integrity.DegradedNodeWithIOIntegrity.test_degraded_node_with_io_integrity___degraded_node_revoke_leadership_action_test,Swapnil
cassandra_medusa.error_injection_tests.degraded_node_tests.io_integrity.test_degraded_node_with_io_integrity.DegradedNodeWithIOIntegrity.test_degraded_node_with_io_integrity___degraded_node_on_zk_leader_test,Swapnil
cassandra_medusa.error_injection_tests.degraded_node_tests.io_integrity.test_degraded_node_with_io_integrity.DegradedNodeWithIOIntegrity.test_degraded_node_with_io_integrity___degraded_node_on_nfs_master_test,Swapnil
cassandra_medusa.delta_scan_tests.io_integrity.test_leadership_scan_with_io_integrity.LeadershipDeltaScanWithIOIntegrityTest.test_leadership_delta_scan_with_io_integrity___leadership_scan_with_all_ssds_removed_test,Swapnil
cassandra_medusa.error_injection_tests.degraded_node_tests.io_integrity.test_degraded_node_with_io_integrity.DegradedNodeWithIOIntegrity.test_degraded_node_with_io_integrity___degraded_node_due_to_cvm_hung,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___local_comps_down_during_node_attach,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___detaching_node_cass_ei_ring_change_abort,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___all_metadata_disk_replacement,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___replica_drc_ei_ring_change_abort,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___replica_cass_ei_ring_change_abort,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___detaching_node_drc_ei_ring_change_abort,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___acting_drc_ei_ring_change_abort,Swapnil
cassandra_medusa.delta_scan_tests.io_integrity.test_leadership_scan_with_io_integrity.LeadershipDeltaScanWithIOIntegrityTest.test_leadership_delta_scan_with_io_integrity___leadership_ei_test_vdiskblock_map,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___local_node_power_cycle_during_node_attach,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___self_healing_repeated_restarts_acting_drc_crash,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___local_cass_down_during_node_attach,Swapnil
cdp.zookeeper.zk_migration.test_zk_migration.ZookeeperMigrationTestWithIOintegrity.test_io_integrity___with_zk_not_migrate_when_died_short_period,Swapnil
cdp.zookeeper.zk_basic.test_zk_basic.ZookeeperBasicTests.test_zeus_leadership,Swapnil
cdp.stargate.ha.test_genesis_ha.GenesisHA~~~RF1_Support.test_genesis_ha___stargate_crash_ft2,Swapnil
cdp.stargate.ha.test_genesis_ha.GenesisHA~~~RF1_Support.test_genesis_ha___stargate_crash,Swapnil
cdp.stargate.ha.test_genesis_ha.GenesisHA~~~RF1_Support.test_genesis_ha___node_down,Swapnil
cdp.stargate.ha.test_genesis_ha.GenesisHA~~~RF1_Support.test_genesis_ha___master_down,Swapnil
cdp.stargate.power_cycling.test_io_integrity_power_cycling.PowerCyclingIOIntegrityTest~~~AES_Brownfield.test_io_integrity___node_power_cycle,Swapnil
cdp.stargate.cache_warmup.test_warmup.WarmupIOIntegrityTest.test_mixed___ei,Swapnil
cdp.stargate.power_cycling.test_io_integrity_power_cycling.PowerCyclingIOIntegrityTest~~~Blockstore_SPDK.test_io_integrity___svm_power_cycle,Swapnil
cdp.stargate.power_cycling.test_io_integrity_power_cycling.PowerCyclingIOIntegrityTest.test_io_integrity___svm_cycle_mixed,Swapnil
cassandra_medusa.delta_scan_tests.kv_integrity.test_leadership_scans_with_kv_integrity.LeadershipScanEIWithKVIntegrityTest.test_kv_integrity_with_component_error_injection,Swapnil
cassandra_medusa.delta_scan_tests.kv_integrity.test_leadership_scans_with_kv_integrity.LeadershipScanEIWithKVIntegrityTest.test_kv_integrity_with_component_error_injection___leader_read,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___metadata_disk_bad_test,Swapnil
cdp.stargate.power_cycling.test_io_integrity_power_cycling.PowerCyclingIOIntegrityTest~~~RF1_Support.test_io_integrity___node_power_cycle,Swapnil
cdp.stargate.power_cycling.test_io_integrity_power_cycling.PowerCyclingIOIntegrityTest.test_io_integrity___svm_system_crash,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___healthy_rapid_attach_detach,Swapnil
cassandra_medusa.error_injection_tests.degraded_node_tests.io_integrity.test_degraded_node_with_io_integrity.DegradedNodeWithIOIntegrity.test_degraded_node_with_io_integrity___degraded_node_due_to_network_ei_packet_drop_test,Swapnil
cassandra_medusa.error_injection_tests.io_integrity.test_error_injection_with_io_integrity.ErrorInjectionWithIOIntegrity.test_error_injection_with_io_integrity___svm_reboot,Swapnil
cassandra_medusa.error_injection_tests.io_integrity.test_error_injection_with_io_integrity.ErrorInjectionWithIOIntegrity.test_error_injection_with_io_integrity___network_error_injection,Swapnil
cassandra_medusa.error_injection_tests.io_integrity.test_error_injection_with_io_integrity.ErrorInjectionWithIOIntegrity.test_error_injection_with_io_integrity___component_error_injection,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___drc_file_lock,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___planned_metadata_disk_replacement,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___one_metadata_disk_replacement,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_metadatadisk_replacement_with_io_integrity.MetadataDiskreplacementWithIOIntegrityTest.test_metadata_disk_replacement_with_io_integrity___minimum_nodes_metadata_disk_replacement,Swapnil
cassandra_medusa.skew_tests.io_integrity.test_automatic_ring_skew.AutomatedRingSkewTest.test_automated_ring_skew___automated_ring_skew_test,Swapnil
cassandra_medusa.delta_scan_tests.io_integrity.test_leadership_scan_with_io_integrity.LeadershipDeltaScanWithIOIntegrityTest.test_leadership_delta_scan_with_io_integrity___leadership_ei_test_eid_map,Swapnil
cassandra_medusa.delta_scan_tests.io_integrity.test_leadership_scan_with_io_integrity.LeadershipDeltaScanWithIOIntegrityTest.test_leadership_delta_scan_with_io_integrity___leadership_scan_ei_after_ring_change_test,Swapnil
cassandra_medusa.delta_scan_tests.io_integrity.test_leadership_scan_with_io_integrity.LeadershipDeltaScanWithIOIntegrityTest.test_leadership_delta_scan_with_io_integrity___leadership_ei_test,Swapnil
cassandra_medusa.delta_scan_tests.io_integrity.test_leadership_scan_with_io_integrity.LeadershipDeltaScanWithIOIntegrityTest.test_leadership_delta_scan_with_io_integrity___basic_leadership_test,Swapnil
cassandra_medusa.delta_scan_tests.io_integrity.test_leadership_scan_with_io_integrity.LeadershipDeltaScanWithIOIntegrityTest.test_leadership_delta_scan_with_io_integrity___wal_leadership_ping_pong_test,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___replica_cass_crash_during_node_attach,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___replica_cass_down_during_node_attach,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___local_drc_down_during_node_attach,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___local_comps_crash_during_node_attach,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___replica_power_cycle_during_unhealthy_node_detach_using_fs,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___self_healing_repeated_restarts_local_node_crash,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___replica_comps_crash_during_node_attach,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___local_cass_crash_during_node_attach,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___replica_node_power_cycle_during_node_attach,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___self_healing_cass_down_test,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___replica_drc_down_during_node_attach,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_ring_change_with_io_integrity.RingChangeWithIOIntegrityTest.test_ring_change_with_io_integrity___basic_attach_detach,Swapnil
cdp.stargate.cache_warmup.test_warmup.WarmupIOIntegrityTest.test_mixed_snapshot___ei_ec,Swapnil
cdp.stargate.cache_warmup.test_warmup.WarmupIOIntegrityTest.test_mixed_snapshot___ei,Swapnil
cdp.stargate.cache_warmup.test_warmup.WarmupIOIntegrityTest.test_mixed_snapshot___ec,Swapnil
cdp.stargate.cache_warmup.test_warmup.WarmupIOIntegrityTest.test_mixed_snapshot,Swapnil
cdp.stargate.cache_warmup.test_warmup.WarmupIOIntegrityTest.test_mixed,Swapnil
cdp.stargate.cache_warmup.test_warmup.WarmupIOIntegrityTest.test_ei,Swapnil
cassandra_medusa.delta_scan_tests.io_integrity.test_leadership_scan_with_io_integrity.LeadershipDeltaScanWithIOIntegrityTest.test_leadership_delta_scan_with_io_integrity___leadership_ei_test_egid_map,Swapnil
cdp.zookeeper.zk_migration.test_zk_migration.ZookeeperMigrationTest.test_zk_migration_random,Swapnil
cdp.zookeeper.zk_leadership_blueprint.test_zk_leadership_blueprint.ZookeeperBlueprintTests.test_leadership_distribution,Swapnil
cdp.zookeeper.zookeeper_resilience.test_zk_resilience.TestZkResilience~~~ft_2.test_kill_service,Swapnil
cdp.zookeeper.zookeeper_resilience.test_zk_resilience.TestZkResilience~~~ft_2.test_kill_node,Swapnil
cdp.zookeeper.zk_leadership_blueprint.test_zk_leadership_blueprint.ZookeeperBlueprintTests.test_leadership_distribution_on_host_removal,Swapnil
cdp.stargate.ha.test_genesis_ha.GenesisHA.test_genesis_ha___stargate_down_ft2,Swapnil
cdp.stargate.ha.test_genesis_ha.GenesisHA.test_genesis_ha___stargate_crash_ft2,Swapnil
cdp.stargate.ha.test_genesis_ha.GenesisHA.test_genesis_ha___node_down_ft2,Swapnil
cdp.stargate.ha.test_genesis_ha.GenesisHA.test_genesis_ha___master_down_ft2,Swapnil
cdp.blockstore.xmount.test_xmount.XmountTest.test_xmount_ei___ltp,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_rf_transition_with_io_integrity.RFTransitionWithIOIntegrityTest.test_rf_transition_with_io_integrity___ring_change_rf_transition,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_rf_transition_with_io_integrity.RFTransitionWithIOIntegrityTest.test_rf_transition_with_io_integrity___rf_transition,Swapnil
cassandra_medusa.config_change_tests.io_integrity.test_rf_transition_with_io_integrity.RFTransitionWithIOIntegrityTest.test_rf_transition_with_io_integrity___ei_rf_transition_test,Swapnil
cdp.stargate.mixed_capacity_support.test_mixed_cap.MixedCapacitySupportTest.test_multiple_disk_replacement___higher_capacity_ssd_capacity_upgrade,Swapnil
cdp.external_storage.zookeeper.test_zk_ext_storage.ZookeeperExternalStorage~~~DellPowerFlex.test_zk_data_copy_on_node_add_removal,Swapnil
cdp.external_storage.zookeeper.test_zk_ext_storage.ZookeeperExternalStorage~~~DellPowerFlex.test_zk_data_copy,Swapnil
cdp.external_storage.zookeeper.test_zk_ext_storage.ZookeeperExternalStorage~~~DellPowerFlex.test_zk_data_copy_on_network_ei,Swapnil
cdp.external_storage.zookeeper.test_zk_ext_storage.ZookeeperExternalStorage~~~PureStorage.test_zk_data_copy_on_hades_temporarily_unavailable,Swapnil
cdp.external_storage.zookeeper.test_zk_ext_storage.ZookeeperExternalStorage~~~PureStorage.test_zk_data_copy_on_node_add_removal,Swapnil
cdp.external_storage.zookeeper.test_zk_ext_storage.ZookeeperExternalStorage~~~PureStorage.test_zk_data_copy_on_network_ei,Swapnil
cdp.external_storage.zookeeper.test_zk_ext_storage.ZookeeperExternalStorage~~~PureStorage.test_zk_data_copy,Swapnil
cdp.external_storage.stargate.test_compute_cluster_crash.TestComputeClusterCrash~~~PureStorage.test_compute_cluster_hypervisors_crash,Swapnil
cdp.hades.new_zk_partition.test_new_zk_partition.TestNewZkPartition.test_zk_service_with_new_zk_partition,Swapnil
cdp.hades.new_zk_partition.test_new_zk_partition.TestNewZkPartition.test_new_zk_partition_with_mix_nodes_dual_boot,Swapnil
cdp.hades.new_zk_partition.test_new_zk_partition.TestNewZkPartition.test_new_zk_partition_when_full,Swapnil
cdp.hades.new_zk_partition.test_new_zk_partition.TestNewZkPartition.test_new_zk_partition_single_boot,Swapnil
cdp.hades.new_zk_partition.test_new_zk_partition.TestNewZkPartition.test_new_zk_partition_ncc_checks,Swapnil
cdp.hades.new_zk_partition.test_new_zk_partition.TestNewZkPartition.test_new_zk_partition_fs_type_access_permissions,Swapnil
cdp.stargate.volume_groups.nvmf_pr.test_vg_nvmf_pr.VGNVMFPRTest.test_verify_scale_pr___kill_cassandra_stargate,Swapnil
cdp.pithos.key_distribution_tests.test_key_distribution_v2.KeyDistributionWithPithosIntegrityV2.test_verify_key_distribution_existing_vdisks___component_error_injection,Swapnil
cdp.pithos.error_injection_tests.test_error_injection_with_pithos_integrity_v2.ErrorInjectionWithPithosIntegrityV2.test_error_injection_with_pithos_integrity___component_error_injection,Swapnil
cdp.pithos.config_change_tests.pithos_integrity.test_pithos_integrity_v2.PithosIntegrityTestV2.test_ring_change_with_pithos_integrity___replica_comps_down_during_node_attach_test,Swapnil
cdp.pithos.config_change_tests.pithos_integrity.test_pithos_integrity_v2.PithosIntegrityTestV2.test_ring_change_with_pithos_integrity___minimum_nodes_self_healing_test,Swapnil
cdp.pithos.config_change_tests.pithos_integrity.test_pithos_integrity_v2.PithosIntegrityTestV2.test_ring_change_with_pithos_integrity___local_comps_crash_during_node_attach_test,Swapnil
cdp.pithos.config_change_tests.pithos_integrity.test_pithos_integrity_v2.PithosIntegrityTestV2.test_ring_change_with_pithos_integrity___basic_attach_detach_test,Swapnil
robo.robo_single_node.mini.test_robo_single_node_with_io_integrity.RoboSingleNodeWithIOIntegrityTest.test_robo_single_node_with_io_integrity___single_node_metadata_disk_replacement,Swapnil
cdp.hades.bad_disk_tests.test_bad_disk_workflows.BadDiskWorkflowTest.test_stargate_offline_disk,Swapnil
cdp.zookeeper.zk_scalability.test_zk_scalability.ZookeeperScalability.test_zk_sessions_at_scale,Swapnil
cdp.zookeeper.zk_scalability.test_zk_scalability.ZookeeperScalability.test_zk_high_zk_nodes_count,Swapnil
cassandra_medusa.healthy_node_removal.io_integrity.test_healthy_node_removal_with_io_integrity.HealthyNodeRemovalTest.test_healthy_node_removal___healthy_node_removal_drc_ei,Swapnil
cassandra_medusa.healthy_node_removal.io_integrity.test_healthy_node_removal_with_io_integrity.HealthyNodeRemovalTest.test_healthy_node_removal___two_healthy_node_serial_removal,Swapnil
cassandra_medusa.healthy_node_removal.io_integrity.test_healthy_node_removal_with_io_integrity.HealthyNodeRemovalTest.test_healthy_node_removal___two_healthy_node_parallel_removal,Swapnil
cassandra_medusa.healthy_node_removal.io_integrity.test_healthy_node_removal_with_io_integrity.HealthyNodeRemovalTest.test_healthy_node_removal___healthy_node_removal_with_disk_removal,Swapnil
cassandra_medusa.error_injection_tests.degraded_node_tests.io_integrity.test_degraded_node_with_io_integrity.DegradedNodeWithIOIntegrity.test_degraded_node_with_io_integrity___degraded_node_reboot_cvm_action_test,Swapnil
cdp.pithos.smoke_tests.test_pithos_integrity_v2.PithosIntegrityTest.test,Swapnil
cdp.pithos.config_change_tests.pithos_integrity.test_pithos_integrity.PithosIntegrityTest.test_ring_change_with_pithos_integrity___replica_comps_down_during_node_attach_test,Swapnil
cdp.pithos.config_change_tests.pithos_integrity.test_pithos_integrity.PithosIntegrityTest.test_ring_change_with_pithos_integrity___minimum_nodes_self_healing_test,Swapnil
cdp.pithos.config_change_tests.pithos_integrity.test_pithos_integrity.PithosIntegrityTest.test_ring_change_with_pithos_integrity___replica_drc_crash_during_node_attach_test,Swapnil
cdp.pithos.config_change_tests.pithos_integrity.test_pithos_integrity.PithosIntegrityTest.test_ring_change_with_pithos_integrity___basic_attach_detach_test,Swapnil
cdp.pithos.error_injection_tests.test_error_injection_with_pithos_integrity.ErrorInjectionWithPithosIntegrity.test_error_injection_with_pithos_integrity___network_error_injection,Swapnil
cdp.pithos.error_injection_tests.test_error_injection_with_pithos_integrity.ErrorInjectionWithPithosIntegrity.test_error_injection_with_pithos_integrity___component_error_injection,Swapnil
cdp.stargate.power_cycling.test_crash.CrashTest~~~Encryption.test_all_hypervisors_crash,Swapnil
cdp.blockstore.spdk.test_spdk_disk_workflows.TestSPDKDiskWorkflows.test_spdk_disk_workflows,Swapnil
cdp.stargate.redhat_guest_cluster.test_rhel_guest_cluster.RHELGuestClusterTest.test_rhel_cluster_io_integrity___direct_attach_vg_with_vmotion,Swapnil
cdp.stargate.redhat_guest_cluster.test_rhel_guest_cluster.RHELGuestClusterTest.test_rhel_cluster_io_integrity___direct_attach_vg_with_vglb,Swapnil
cdp.stargate.power_cycling.test_crash.CrashTest.test_all_svms_crash,Swapnil
cdp.stargate.redhat_guest_cluster.test_rhel_guest_cluster.RHELGuestClusterTest.test_rhel_cluster_io_integrity,Swapnil
cassandra_medusa.misc_tests.kv_integrity_tests.test_kv_integrity_gc_pauses_alert.CassandraGCPausesAlertTest.test_cassandra_gc_pauses_alert_with_kv_integrity,Swapnil
cassandra_medusa.healthy_node_removal.io_integrity.test_healthy_node_removal_with_io_integrity.HealthyNodeRemovalTest.test_healthy_node_removal___healthy_node_removal,Swapnil
cdp.pithos.config_change_tests.pithos_integrity.test_pithos_integrity.PithosIntegrityTest.test_ring_change_with_pithos_integrity___self_healing_due_to_repeated_restarts_acting_drc_crash_test,Swapnil
cassandra_medusa.error_injection_tests.degraded_node_tests.io_integrity.test_degraded_node_with_io_integrity.DegradedNodeWithIOIntegrity.test_degraded_node_with_io_integrity___degraded_node_due_to_cassandra_ei_packet_drop_test,Swapnil
